document_id,set,question,answer1,answer2,question_tokenized,answer1_tokenized,answer2_tokenized
0029bdbe75423337b551e42bb31f9a102785376f,train,Who is Miss Delmer?,the elderly spinster aunt of the Earl de Verseley and Captain Delmar,She's Captail Delmar's aunt.,Who is Miss Delmer ?,the elderly spinster aunt of the Earl de Verseley and Captain Delmar,She s Captail Delmar s aunt .
0029bdbe75423337b551e42bb31f9a102785376f,train,Who does Arabella Mason wed?,"Ben Keene, Delmar's valet",Ben Keene,Who does Arabella Mason wed ?,"Ben Keene , Delmar s valet",Ben Keene
0029bdbe75423337b551e42bb31f9a102785376f,train,Who is the bully that steals Percival's lunch?,"his teacher, Mr. O'Gallagher",The schoolmaster,Who is the bully that steals Percival s lunch ?,"his teacher , Mr. O'Gallagher",The schoolmaster
0029bdbe75423337b551e42bb31f9a102785376f,train,Who does Percival convince the Pirates to spare?,a rich Dutch merchant and his daughter Minnie,A Dutch Merchant and his daughter,Who does Percival convince the Pirates to spare ?,a rich Dutch merchant and his daughter Minnie,A Dutch Merchant and his daughter
0029bdbe75423337b551e42bb31f9a102785376f,train,Who lives at Madeline Hall?,Miss Delmar,Miss Delmar,Who lives at Madeline Hall ?,Miss Delmar,Miss Delmar
0029bdbe75423337b551e42bb31f9a102785376f,train,Who does Capitan Delmar suggest Ben marry in secret?,Arabella,Arabella Mason,Who does Capitan Delmar suggest Ben marry in secret ?,Arabella,Arabella Mason
0029bdbe75423337b551e42bb31f9a102785376f,train,Who is Ben and Arabella's son?,Percival Keene,Percival,Who is Ben and Arabella s son ?,Percival Keene,Percival
0029bdbe75423337b551e42bb31f9a102785376f,train,Who's lives does Percival convince the pirate captain to spare?,A Dutch merchant and his daughter,a wealthy dutch merchant and his daughter minnie,Who s lives does Percival convince the pirate captain to spare ?,A Dutch merchant and his daughter,a wealthy dutch merchant and his daughter minnie
0029bdbe75423337b551e42bb31f9a102785376f,train,Who becomes Lord de Versely after his brother dies?,Colonial Delmar,Captain Delmar,Who becomes Lord de Versely after his brother dies ?,Colonial Delmar,Captain Delmar
0029bdbe75423337b551e42bb31f9a102785376f,train,Who does Percival propose to?,Minni,Minnie,Who does Percival propose to ?,Minni,Minnie
0029bdbe75423337b551e42bb31f9a102785376f,train,Who is Arabella Manson?,Miss Delma house guest,She's Percival's mother,Who is Arabella Manson ?,Miss Delma house guest,She s Percival s mother
